GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
backend,kr.co.kyobo.vora.model.api,FeedWriteObj,341,0,62,0,8,0,50,0,19,0
backend,kr.co.kyobo.vora.model.api,RequestComment,169,0,30,0,4,0,26,0,11,0
backend,kr.co.kyobo.vora.model.api,ResponseEntityUtil,41,0,0,0,8,0,4,0,4,0
backend,kr.co.kyobo.vora.model.api,NaverSearchRes,38,0,0,0,16,0,11,0,11,0
backend,kr.co.kyobo.vora.model.api,NaverSearchReq,373,0,64,0,11,0,53,0,21,0
backend,kr.co.kyobo.vora.model.api,RecommendResultData,210,0,32,0,7,0,30,0,14,0
backend,kr.co.kyobo.vora.model.api,RequestParam,368,0,50,0,11,0,50,0,25,0
backend,kr.co.kyobo.vora.model.api,ReturnObject,190,0,30,0,15,0,28,0,13,0
backend,kr.co.kyobo.vora.service.myFeed,MyFeedServiceImpl,503,0,20,0,114,0,24,0,14,0
backend,kr.co.kyobo.vora.service.memberFollowMember,MemberFollowMemberServiceImpl,191,0,14,0,47,0,14,0,7,0
backend,kr.co.kyobo.vora.service.searchFeed,SearchFeedServiceImpl,428,0,20,0,94,0,16,0,6,0
backend,kr.co.kyobo.vora.service.account,AccountServiceImpl,90,0,4,0,24,0,5,0,3,0
backend,kr.co.kyobo.vora.service.jwt,JwtServiceImpl,191,0,10,0,56,0,11,0,6,0
backend,kr.co.kyobo.vora,VoraApplication,8,0,0,0,3,0,2,0,2,0
